ID,Academy,Talent,Training,16End,16Bat,16Bowl,16Tech,16Power,16Keep,16Field,17End,17Bat,17Bowl,17Tech,17Power,17Keep,17Field,18End,18Bat,18Bowl,18Tech,18Power,18Keep,18Field,19End,19Bat,19Bowl,19Tech,19Power,19Keep,19Field,20End,20Bat,20Bowl,20Tech,20Power,20Keep,20Field,21End,21Bat,21Bowl,21Tech,21Power,21Keep,21Field,22End,22Bat,22Bowl,22Tech,22Power,22Keep,22Field,23End,23Bat,23Bowl,23Tech,23Power,23Keep,23Field,24End,24Bat,24Bowl,24Tech,24Power,24Keep,24Field,25End,25Bat,25Bowl,25Tech,25Power,25Keep,25Field,26End,26Bat,26Bowl,26Tech,26Power,26Keep,26Field,27End,27Bat,27Bowl,27Tech,27Power,27Keep,27Field,28End,28Bat,28Bowl,28Tech,28Power,28Keep,28Field,29End,29Bat,29Bowl,29Tech,29Power,29Keep,29Field,30End,30Bat,30Bowl,30Tech,30Power,30Keep,30Field,31End,31Bat,31Bowl,31Tech,31Power,31Keep,31Field
luxuriousProdigyBowling-Tech,luxurious,Prodigy,Bowling-Tech,38,,100,154,,,,38,,96,148,,,,38,,91,141,,,,38,,83,129,,,,38,,77,119,,,,31,,60,92,,,,31,,55,85,,,,31,,49,76,,,,31,,44,68,,,,31,,39,61,,,,31,,34,53,,,,31,,31,48,,,,31,,27,43,,,,31,,24,37,,,,31,,20,32,,,,28,,17,26,,,
luxuriousProdigyAll-Rounder,luxurious,Prodigy,All-Rounder,38,96,96,83,,,,38,92,92,80,,,,38,88,88,76,,,,38,80,80,69,,,,38,74,74,65,,,,31,57,57,50,,,,31,53,53,46,,,,31,47,47,41,,,,31,43,43,37,,,,31,38,38,33,,,,31,33,33,29,,,,31,30,30,26,,,,31,26,26,23,,,,31,23,23,20,,,,31,20,20,17,,,,28,16,16,14,,,
luxuriousProdigyKeeping,luxurious,Prodigy,Keeping,38,,,100,,291,72,38,,,96,,280,70,38,,,92,,268,67,38,,,83,,243,60,38,,,77,,226,56,31,,,60,,174,43,31,,,55,,160,40,31,,,49,,144,36,31,,,44,,130,32,31,,,39,,115,28,31,,,34,,101,25,31,,,31,,91,22,31,,,27,,81,20,31,,,24,,71,17,31,,,20,,60,15,28,,,17,,50,12
luxuriousProdigyKeeper-Batsman,luxurious,Prodigy,Keeper-Batsman,38,109,,100,,145,54,38,105,,96,,140,52,38,100,,92,,133,50,38,91,,83,,121,45,38,85,,77,,113,42,31,65,,60,,87,32,31,60,,55,,80,30,31,54,,49,,72,27,31,48,,44,,65,24,31,43,,39,,57,21,31,38,,34,,50,19,31,34,,31,,45,17,31,30,,27,,40,15,31,26,,24,,35,13,31,22,,20,,30,11,28,19,,17,,25,9
luxuriousProdigyFielding,luxurious,Prodigy,Fielding,38,,,54,,,400,38,,,52,,,385,38,,,50,,,367,38,,,45,,,334,38,,,42,,,310,31,,,32,,,239,31,,,30,,,220,31,,,27,,,198,31,,,24,,,178,31,,,21,,,159,31,,,19,,,139,31,,,17,,,125,31,,,15,,,111,31,,,13,,,97,31,,,11,,,83,28,,,9,,,69
luxuriousProdigyFitness,luxurious,Prodigy,Fitness,304,,,,53,,,304,,,,64,,,304,,,,74,,,304,,,,84,,,304,,,,90,,,254,,,,80,,,254,,,,84,,,254,,,,88,,,254,,,,88,,,254,,,,88,,,254,,,,88,,,254,,,,88,,,254,,,,80,,,254,,,,70,,,254,,,,61,,,228,,,,53,,
luxuriousProdigyStrength,luxurious,Prodigy,Strength,99,,,,144,,,99,,,,173,,,99,,,,200,,,99,,,,228,,,98,,,,245,,,82,,,,216,,,82,,,,229,,,82,,,,241,,,82,,,,241,,,82,,,,241,,,82,,,,241,,,82,,,,241,,,82,,,,216,,,82,,,,191,,,82,,,,167,,,74,,,,144,,
luxuriousGifted (Batting)Batting,luxurious,Gifted (Batting),Batting,31,136,,83,,,,31,131,,80,,,,31,125,,76,,,,31,114,,69,,,,31,105,,64,,,,31,98,,60,,,,31,90,,55,,,,31,81,,49,,,,31,73,,44,,,,31,65,,39,,,,31,57,,34,,,,31,51,,31,,,,31,45,,27,,,,31,40,,24,,,,31,34,,20,,,,28,28,,17,,,
luxuriousGifted (Batting)Batting-Tech,luxurious,Gifted (Batting),Batting-Tech,31,100,,129,,,,31,96,,124,,,,31,91,,118,,,,31,83,,107,,,,31,77,,100,,,,31,72,,92,,,,31,66,,85,,,,31,59,,76,,,,31,53,,68,,,,31,47,,61,,,,31,41,,53,,,,31,37,,48,,,,31,33,,43,,,,31,29,,37,,,,31,25,,32,,,,28,20,,26,,,
luxuriousGifted (Batting)All-Rounder,luxurious,Gifted (Batting),All-Rounder,31,96,80,69,,,,31,92,77,67,,,,31,88,73,63,,,,31,80,67,58,,,,31,74,62,54,,,,31,69,57,50,,,,31,63,53,46,,,,31,57,47,41,,,,31,51,43,37,,,,31,46,38,33,,,,31,40,33,29,,,,31,36,30,26,,,,31,32,26,23,,,,31,28,23,20,,,,31,24,20,17,,,,28,20,16,14,,,
luxuriousGifted (Batting)Keeper-Batsman,luxurious,Gifted (Batting),Keeper-Batsman,31,109,,83,,121,45,31,105,,80,,116,43,31,100,,76,,111,41,31,91,,69,,101,38,31,85,,64,,94,35,31,78,,60,,87,32,31,72,,55,,80,30,31,64,,49,,72,27,31,58,,44,,65,24,31,52,,39,,57,21,31,45,,34,,50,19,31,41,,31,,45,17,31,36,,27,,40,15,31,32,,24,,35,13,31,27,,20,,30,11,28,22,,17,,25,9
luxuriousGifted (Bowling)Bowling,luxurious,Gifted (Bowling),Bowling,31,,136,83,,,,31,,131,80,,,,31,,125,76,,,,31,,114,69,,,,31,,105,64,,,,31,,98,60,,,,31,,90,55,,,,31,,81,49,,,,31,,73,44,,,,31,,65,39,,,,31,,57,34,,,,31,,51,31,,,,31,,45,27,,,,31,,40,24,,,,31,,34,20,,,,28,,28,17,,,
luxuriousGifted (Bowling)Bowling-Tech,luxurious,Gifted (Bowling),Bowling-Tech,31,,100,129,,,,31,,96,124,,,,31,,91,118,,,,31,,83,107,,,,31,,77,100,,,,31,,72,92,,,,31,,66,85,,,,31,,59,76,,,,31,,53,68,,,,31,,47,61,,,,31,,41,53,,,,31,,37,48,,,,31,,33,43,,,,31,,29,37,,,,31,,25,32,,,,28,,20,26,,,
luxuriousGifted (Bowling)All-Rounder,luxurious,Gifted (Bowling),All-Rounder,31,80,96,69,,,,31,77,92,67,,,,31,73,88,63,,,,31,67,80,58,,,,31,62,74,54,,,,31,57,69,50,,,,31,53,63,46,,,,31,47,57,41,,,,31,43,51,37,,,,31,38,46,33,,,,31,33,40,29,,,,31,30,36,26,,,,31,26,32,23,,,,31,23,28,20,,,,31,20,24,17,,,,28,16,20,14,,,
luxuriousGifted (Technique)Batting,luxurious,Gifted (Technique),Batting,31,114,,100,,,,31,109,,96,,,,31,104,,91,,,,31,95,,83,,,,31,88,,77,,,,31,81,,72,,,,31,75,,66,,,,31,67,,59,,,,31,60,,53,,,,31,54,,47,,,,31,47,,41,,,,31,42,,37,,,,31,38,,33,,,,31,33,,29,,,,31,28,,25,,,,28,23,,20,,,
luxuriousGifted (Technique)Batting-Tech,luxurious,Gifted (Technique),Batting-Tech,31,83,,154,,,,31,80,,148,,,,31,76,,141,,,,31,69,,129,,,,31,64,,119,,,,31,60,,111,,,,31,55,,102,,,,31,49,,91,,,,31,44,,82,,,,31,39,,73,,,,31,34,,64,,,,31,31,,58,,,,31,27,,51,,,,31,24,,45,,,,31,20,,38,,,,28,17,,32,,,
luxuriousGifted (Technique)Bowling,luxurious,Gifted (Technique),Bowling,31,,114,100,,,,31,,109,96,,,,31,,104,91,,,,31,,95,83,,,,31,,88,77,,,,31,,81,72,,,,31,,75,66,,,,31,,67,59,,,,31,,60,53,,,,31,,54,47,,,,31,,47,41,,,,31,,42,37,,,,31,,38,33,,,,31,,33,29,,,,31,,28,25,,,,28,,23,20,,,
luxuriousGifted (Technique)Bowling-Tech,luxurious,Gifted (Technique),Bowling-Tech,31,,83,154,,,,31,,80,148,,,,31,,76,141,,,,31,,69,129,,,,31,,64,119,,,,31,,60,111,,,,31,,55,102,,,,31,,49,91,,,,31,,44,82,,,,31,,39,73,,,,31,,34,64,,,,31,,31,58,,,,31,,27,51,,,,31,,24,45,,,,31,,20,38,,,,28,,17,32,,,
luxuriousGifted (Technique)All-Rounder,luxurious,Gifted (Technique),All-Rounder,31,80,80,83,,,,31,77,77,80,,,,31,73,73,76,,,,31,67,67,69,,,,31,62,62,65,,,,31,57,57,60,,,,31,53,53,55,,,,31,47,47,49,,,,31,43,43,44,,,,31,38,38,39,,,,31,33,33,35,,,,31,30,30,31,,,,31,26,26,28,,,,31,23,23,24,,,,31,20,20,21,,,,28,16,16,17,,,
luxuriousGifted (Technique)Keeping,luxurious,Gifted (Technique),Keeping,31,,,100,,243,60,31,,,96,,233,58,31,,,92,,222,55,31,,,83,,203,50,31,,,77,,188,47,31,,,72,,174,43,31,,,66,,160,40,31,,,59,,144,36,31,,,53,,130,32,31,,,47,,115,28,31,,,41,,101,25,31,,,37,,91,22,31,,,33,,81,20,31,,,29,,71,17,31,,,25,,60,15,28,,,20,,50,12
luxuriousGifted (Technique)Keeper-Batsman,luxurious,Gifted (Technique),Keeper-Batsman,31,91,,100,,121,45,31,87,,96,,116,43,31,83,,92,,111,41,31,76,,83,,101,38,31,70,,77,,94,35,31,65,,72,,87,32,31,60,,66,,80,30,31,54,,59,,72,27,31,48,,53,,65,24,31,43,,47,,57,21,31,38,,41,,50,19,31,34,,37,,45,17,31,30,,33,,40,15,31,26,,29,,35,13,31,22,,25,,30,11,28,19,,20,,25,9
luxuriousGifted (Technique)Fielding,luxurious,Gifted (Technique),Fielding,31,,,54,,,334,31,,,52,,,321,31,,,50,,,305,31,,,45,,,279,31,,,42,,,259,31,,,39,,,239,31,,,36,,,220,31,,,32,,,198,31,,,29,,,178,31,,,26,,,159,31,,,22,,,139,31,,,20,,,125,31,,,18,,,111,31,,,16,,,97,31,,,13,,,83,28,,,11,,,69
luxuriousGifted (Keeping)Keeping,luxurious,Gifted (Keeping),Keeping,31,,,83,,291,60,31,,,80,,280,58,31,,,76,,268,55,31,,,69,,243,50,31,,,64,,226,47,31,,,60,,209,43,31,,,55,,192,40,31,,,49,,173,36,31,,,44,,156,32,31,,,39,,138,28,31,,,34,,121,25,31,,,31,,109,22,31,,,27,,97,20,31,,,24,,85,17,31,,,20,,73,15,28,,,17,,60,12
luxuriousGifted (Keeping)Keeper-Batsman,luxurious,Gifted (Keeping),Keeper-Batsman,31,91,,83,,145,45,31,87,,80,,140,43,31,83,,76,,133,41,31,76,,69,,121,38,31,70,,64,,113,35,31,65,,60,,104,32,31,60,,55,,96,30,31,54,,49,,86,27,31,48,,44,,78,24,31,43,,39,,69,21,31,38,,34,,60,19,31,34,,31,,54,17,31,30,,27,,48,15,31,26,,24,,42,13,31,22,,20,,36,11,28,19,,17,,30,9
luxuriousGifted (Fielding)Keeping,luxurious,Gifted (Fielding),Keeping,31,,,83,,243,72,31,,,80,,233,70,31,,,76,,222,67,31,,,69,,203,60,31,,,64,,188,56,31,,,60,,174,52,31,,,55,,160,48,31,,,49,,144,43,31,,,44,,130,39,31,,,39,,115,34,31,,,34,,101,30,31,,,31,,91,27,31,,,27,,81,24,31,,,24,,71,21,31,,,20,,60,18,28,,,17,,50,15
luxuriousGifted (Fielding)Keeper-Batsman,luxurious,Gifted (Fielding),Keeper-Batsman,31,91,,83,,121,54,31,87,,80,,116,52,31,83,,76,,111,50,31,76,,69,,101,45,31,70,,64,,94,42,31,65,,60,,87,39,31,60,,55,,80,36,31,54,,49,,72,32,31,48,,44,,65,29,31,43,,39,,57,26,31,38,,34,,50,22,31,34,,31,,45,20,31,30,,27,,40,18,31,26,,24,,35,16,31,22,,20,,30,13,28,19,,17,,25,11
luxuriousGifted (Fielding)Fielding,luxurious,Gifted (Fielding),Fielding,31,,,45,,,400,31,,,43,,,385,31,,,41,,,367,31,,,38,,,334,31,,,35,,,310,31,,,32,,,288,31,,,30,,,264,31,,,27,,,238,31,,,24,,,214,31,,,21,,,191,31,,,19,,,167,31,,,17,,,150,31,,,15,,,134,31,,,13,,,117,31,,,11,,,100,28,,,9,,,83
luxuriousGifted (Endurance)Batting,luxurious,Gifted (Endurance),Batting,38,114,,83,,,,38,109,,80,,,,38,104,,76,,,,38,95,,69,,,,38,88,,64,,,,38,81,,60,,,,38,75,,55,,,,38,67,,49,,,,38,60,,44,,,,38,54,,39,,,,38,47,,34,,,,38,42,,31,,,,38,38,,27,,,,38,33,,24,,,,38,28,,20,,,,34,23,,17,,,
luxuriousGifted (Endurance)Batting-Tech,luxurious,Gifted (Endurance),Batting-Tech,38,83,,129,,,,38,80,,124,,,,38,76,,118,,,,38,69,,107,,,,38,64,,100,,,,38,60,,92,,,,38,55,,85,,,,38,49,,76,,,,38,44,,68,,,,38,39,,61,,,,38,34,,53,,,,38,31,,48,,,,38,27,,43,,,,38,24,,37,,,,38,20,,32,,,,34,17,,26,,,
luxuriousGifted (Endurance)Bowling,luxurious,Gifted (Endurance),Bowling,38,,114,83,,,,38,,109,80,,,,38,,104,76,,,,38,,95,69,,,,38,,88,64,,,,38,,81,60,,,,38,,75,55,,,,38,,67,49,,,,38,,60,44,,,,38,,54,39,,,,38,,47,34,,,,38,,42,31,,,,38,,38,27,,,,38,,33,24,,,,38,,28,20,,,,34,,23,17,,,
luxuriousGifted (Endurance)Bowling-Tech,luxurious,Gifted (Endurance),Bowling-Tech,38,,83,129,,,,38,,80,124,,,,38,,76,118,,,,38,,69,107,,,,38,,64,100,,,,38,,60,92,,,,38,,55,85,,,,38,,49,76,,,,38,,44,68,,,,38,,39,61,,,,38,,34,53,,,,38,,31,48,,,,38,,27,43,,,,38,,24,37,,,,38,,20,32,,,,34,,17,26,,,
luxuriousGifted (Endurance)All-Rounder,luxurious,Gifted (Endurance),All-Rounder,38,80,80,69,,,,38,77,77,67,,,,38,73,73,63,,,,38,67,67,58,,,,38,62,62,54,,,,38,57,57,50,,,,38,53,53,46,,,,38,47,47,41,,,,38,43,43,37,,,,38,38,38,33,,,,38,33,33,29,,,,38,30,30,26,,,,38,26,26,23,,,,38,23,23,20,,,,38,20,20,17,,,,34,16,16,14,,,
luxuriousGifted (Endurance)Keeping,luxurious,Gifted (Endurance),Keeping,38,,,83,,243,60,38,,,80,,233,58,38,,,76,,222,55,38,,,69,,203,50,38,,,64,,188,47,38,,,60,,174,43,38,,,55,,160,40,38,,,49,,144,36,38,,,44,,130,32,38,,,39,,115,28,38,,,34,,101,25,38,,,31,,91,22,38,,,27,,81,20,38,,,24,,71,17,38,,,20,,60,15,34,,,17,,50,12
luxuriousGifted (Endurance)Keeper-Batsman,luxurious,Gifted (Endurance),Keeper-Batsman,38,91,,83,,121,45,38,87,,80,,116,43,38,83,,76,,111,41,38,76,,69,,101,38,38,70,,64,,94,35,38,65,,60,,87,32,38,60,,55,,80,30,38,54,,49,,72,27,38,48,,44,,65,24,38,43,,39,,57,21,38,38,,34,,50,19,38,34,,31,,45,17,38,30,,27,,40,15,38,26,,24,,35,13,38,22,,20,,30,11,34,19,,17,,25,9
luxuriousGifted (Endurance)Fielding,luxurious,Gifted (Endurance),Fielding,38,,,45,,,334,38,,,43,,,321,38,,,41,,,305,38,,,38,,,279,38,,,35,,,259,38,,,32,,,239,38,,,30,,,220,38,,,27,,,198,38,,,24,,,178,38,,,21,,,159,38,,,19,,,139,38,,,17,,,125,38,,,15,,,111,38,,,13,,,97,38,,,11,,,83,34,,,9,,,69
luxuriousGifted (Endurance)Fitness,luxurious,Gifted (Endurance),Fitness,304,,,,44,,,304,,,,53,,,304,,,,61,,,304,,,,70,,,304,,,,74,,,304,,,,80,,,304,,,,84,,,304,,,,88,,,304,,,,88,,,304,,,,88,,,304,,,,88,,,304,,,,88,,,304,,,,80,,,304,,,,70,,,304,,,,61,,,274,,,,53,,
luxuriousGifted (Endurance)Strength,luxurious,Gifted (Endurance),Strength,99,,,,119,,,99,,,,144,,,99,,,,167,,,99,,,,191,,,98,,,,203,,,99,,,,216,,,99,,,,229,,,99,,,,241,,,99,,,,241,,,99,,,,241,,,99,,,,241,,,99,,,,241,,,99,,,,216,,,99,,,,191,,,99,,,,167,,,89,,,,144,,
luxuriousGifted (Power)Fitness,luxurious,Gifted (Power),Fitness,254,,,,53,,,254,,,,64,,,254,,,,74,,,254,,,,84,,,254,,,,90,,,254,,,,96,,,254,,,,101,,,254,,,,106,,,254,,,,106,,,254,,,,106,,,254,,,,106,,,254,,,,106,,,254,,,,96,,,254,,,,84,,,254,,,,74,,,228,,,,64,,
luxuriousGifted (Power)Strength,luxurious,Gifted (Power),Strength,82,,,,144,,,82,,,,173,,,82,,,,200,,,82,,,,228,,,82,,,,245,,,82,,,,260,,,82,,,,275,,,82,,,,288,,,82,,,,288,,,82,,,,288,,,82,,,,288,,,82,,,,288,,,82,,,,260,,,82,,,,231,,,82,,,,202,,,74,,,,173,,
lavishNoneBatting,lavish,None,Batting,31,111,,81,,,,31,106,,78,,,,31,101,,75,,,,31,93,,68,,,,31,86,,63,,,,31,79,,58,,,,31,72,,53,,,,31,66,,48,,,,31,59,,43,,,,31,53,,38,,,,31,46,,34,,,,31,41,,30,,,,31,37,,27,,,,31,32,,23,,,,31,27,,20,,,,27,23,,17,,,
lavishNoneBatting-Tech,lavish,None,Batting-Tech,31,81,,125,,,,31,78,,120,,,,31,75,,114,,,,31,68,,105,,,,31,63,,97,,,,31,58,,90,,,,31,53,,82,,,,31,48,,74,,,,31,43,,67,,,,31,38,,60,,,,31,34,,52,,,,31,30,,46,,,,31,27,,42,,,,31,23,,36,,,,31,20,,31,,,,27,17,,26,,,
lavishNoneBowling,lavish,None,Bowling,31,,111,81,,,,31,,106,78,,,,31,,101,75,,,,31,,93,68,,,,31,,86,63,,,,31,,79,58,,,,31,,72,53,,,,31,,66,48,,,,31,,59,43,,,,31,,53,38,,,,31,,46,34,,,,31,,41,30,,,,31,,37,27,,,,31,,32,23,,,,31,,27,20,,,,27,,23,17,,,
lavishNoneBowling-Tech,lavish,None,Bowling-Tech,31,,81,125,,,,31,,78,120,,,,31,,75,114,,,,31,,68,105,,,,31,,63,97,,,,31,,58,90,,,,31,,53,82,,,,31,,48,74,,,,31,,43,67,,,,31,,38,60,,,,31,,34,52,,,,31,,30,46,,,,31,,27,42,,,,31,,23,36,,,,31,,20,31,,,,27,,17,26,,,
lavishNoneAll-Rounder,lavish,None,All-Rounder,31,78,78,68,,,,31,75,75,65,,,,31,72,72,62,,,,31,65,65,57,,,,31,60,60,52,,,,31,56,56,48,,,,31,51,51,44,,,,31,46,46,40,,,,31,41,41,36,,,,31,37,37,32,,,,31,32,32,28,,,,31,29,29,25,,,,31,26,26,22,,,,31,23,23,19,,,,31,19,19,17,,,,27,16,16,14,,,
lavishNoneKeeping,lavish,None,Keeping,31,,,81,,236,59,31,,,78,,228,57,31,,,75,,218,54,31,,,68,,198,49,31,,,63,,184,46,31,,,57,,170,42,31,,,53,,156,39,31,,,48,,140,35,31,,,43,,126,31,31,,,38,,113,28,31,,,34,,99,24,31,,,30,,89,22,31,,,27,,79,19,31,,,23,,69,17,31,,,20,,59,14,27,,,17,,49,12
lavishNoneKeeper-Batsman,lavish,None,Keeper-Batsman,31,88,,81,,118,44,31,85,,78,,113,42,31,80,,75,,108,40,31,74,,68,,99,37,31,69,,63,,92,34,31,63,,58,,84,31,31,58,,53,,78,29,31,52,,48,,70,26,31,47,,43,,63,23,31,42,,38,,56,21,31,37,,34,,49,18,31,33,,30,,44,16,31,29,,27,,39,14,31,26,,23,,34,13,31,22,,20,,29,11,27,18,,17,,24,9
lavishNoneFielding,lavish,None,Fielding,31,,,43,,,326,31,,,42,,,312,31,,,40,,,299,31,,,37,,,272,31,,,34,,,253,31,,,31,,,233,31,,,29,,,214,31,,,26,,,193,31,,,23,,,173,31,,,21,,,154,31,,,18,,,136,31,,,16,,,121,31,,,14,,,109,31,,,13,,,95,31,,,11,,,81,27,,,9,,,68
lavishNoneFitness,lavish,None,Fitness,248,,,,43,,,248,,,,51,,,248,,,,60,,,248,,,,69,,,248,,,,73,,,248,,,,78,,,248,,,,81,,,248,,,,86,,,248,,,,86,,,248,,,,86,,,248,,,,86,,,248,,,,86,,,248,,,,78,,,248,,,,69,,,248,,,,60,,,223,,,,52,,
lavishNoneStrength,lavish,None,Strength,80,,,,117,,,80,,,,141,,,80,,,,164,,,80,,,,188,,,80,,,,199,,,80,,,,210,,,80,,,,223,,,80,,,,235,,,80,,,,235,,,80,,,,235,,,80,,,,235,,,80,,,,235,,,80,,,,210,,,80,,,,188,,,80,,,,164,,,72,,,,141,,
lavishProdigyBatting,lavish,Prodigy,Batting,37,133,,97,,,,37,128,,94,,,,37,121,,90,,,,37,111,,81,,,,37,103,,75,,,,31,79,,58,,,,31,72,,53,,,,31,66,,48,,,,31,59,,43,,,,31,53,,38,,,,31,46,,34,,,,31,41,,30,,,,31,37,,27,,,,31,32,,23,,,,31,27,,20,,,,27,23,,17,,,
lavishProdigyBatting-Tech,lavish,Prodigy,Batting-Tech,37,97,,151,,,,37,94,,145,,,,37,90,,137,,,,37,81,,125,,,,37,75,,117,,,,31,58,,90,,,,31,53,,82,,,,31,48,,74,,,,31,43,,67,,,,31,38,,60,,,,31,34,,52,,,,31,30,,46,,,,31,27,,42,,,,31,23,,36,,,,31,20,,31,,,,27,17,,26,,,
lavishProdigyBowling,lavish,Prodigy,Bowling,37,,133,97,,,,37,,128,94,,,,37,,121,90,,,,37,,111,81,,,,37,,103,75,,,,31,,79,58,,,,31,,72,53,,,,31,,66,48,,,,31,,59,43,,,,31,,53,38,,,,31,,46,34,,,,31,,41,30,,,,31,,37,27,,,,31,,32,23,,,,31,,27,20,,,,27,,23,17,,,
lavishProdigyBowling-Tech,lavish,Prodigy,Bowling-Tech,37,,97,151,,,,37,,94,145,,,,37,,90,137,,,,37,,81,125,,,,37,,75,117,,,,31,,58,90,,,,31,,53,82,,,,31,,48,74,,,,31,,43,67,,,,31,,38,60,,,,31,,34,52,,,,31,,30,46,,,,31,,27,42,,,,31,,23,36,,,,31,,20,31,,,,27,,17,26,,,
lavishProdigyAll-Rounder,lavish,Prodigy,All-Rounder,37,94,94,81,,,,37,90,90,78,,,,37,86,86,74,,,,37,78,78,68,,,,37,73,73,63,,,,31,56,56,48,,,,31,51,51,44,,,,31,46,46,40,,,,31,41,41,36,,,,31,37,37,32,,,,31,32,32,28,,,,31,29,29,25,,,,31,26,26,22,,,,31,23,23,19,,,,31,19,19,17,,,,27,16,16,14,,,
lavishProdigyKeeping,lavish,Prodigy,Keeping,37,,,97,,285,71,37,,,94,,273,68,37,,,90,,261,65,37,,,81,,238,59,37,,,76,,221,55,31,,,57,,170,42,31,,,53,,156,39,31,,,48,,140,35,31,,,43,,126,31,31,,,38,,113,28,31,,,34,,99,24,31,,,30,,89,22,31,,,27,,79,19,31,,,23,,69,17,31,,,20,,59,14,27,,,17,,49,12
lavishProdigyKeeper-Batsman,lavish,Prodigy,Keeper-Batsman,37,106,,97,,142,53,37,102,,94,,136,51,37,96,,90,,130,48,37,88,,81,,118,44,37,82,,75,,110,41,31,63,,58,,84,31,31,58,,53,,78,29,31,52,,48,,70,26,31,47,,43,,63,23,31,42,,38,,56,21,31,37,,34,,49,18,31,33,,30,,44,16,31,29,,27,,39,14,31,26,,23,,34,13,31,22,,20,,29,11,27,18,,17,,24,9
lavishProdigyFielding,lavish,Prodigy,Fielding,37,,,52,,,392,37,,,51,,,376,37,,,48,,,358,37,,,44,,,325,37,,,41,,,303,31,,,31,,,233,31,,,29,,,214,31,,,26,,,193,31,,,23,,,173,31,,,21,,,154,31,,,18,,,136,31,,,16,,,121,31,,,14,,,109,31,,,13,,,95,31,,,11,,,81,27,,,9,,,68
lavishProdigyFitness,lavish,Prodigy,Fitness,296,,,,51,,,297,,,,61,,,297,,,,71,,,297,,,,82,,,297,,,,88,,,248,,,,78,,,248,,,,81,,,248,,,,86,,,248,,,,86,,,248,,,,86,,,248,,,,86,,,248,,,,86,,,248,,,,78,,,248,,,,69,,,248,,,,60,,,223,,,,52,,
lavishProdigyStrength,lavish,Prodigy,Strength,96,,,,140,,,96,,,,169,,,96,,,,197,,,96,,,,226,,,96,,,,239,,,80,,,,210,,,80,,,,223,,,80,,,,235,,,80,,,,235,,,80,,,,235,,,80,,,,235,,,80,,,,235,,,80,,,,210,,,80,,,,188,,,80,,,,164,,,72,,,,141,,
lavishGifted (Batting)Batting,lavish,Gifted (Batting),Batting,31,133,,81,,,,31,128,,78,,,,31,121,,75,,,,31,111,,68,,,,31,103,,63,,,,31,95,,58,,,,31,88,,53,,,,31,79,,48,,,,31,71,,43,,,,31,63,,38,,,,31,55,,34,,,,31,49,,30,,,,31,44,,27,,,,31,39,,23,,,,31,33,,20,,,,27,27,,17,,,
lavishGifted (Batting)Batting-Tech,lavish,Gifted (Batting),Batting-Tech,31,97,,125,,,,31,94,,120,,,,31,90,,114,,,,31,81,,105,,,,31,75,,97,,,,31,70,,90,,,,31,64,,82,,,,31,58,,74,,,,31,52,,67,,,,31,46,,60,,,,31,40,,52,,,,31,36,,46,,,,31,32,,42,,,,31,28,,36,,,,31,24,,31,,,,27,20,,26,,,
lavishGifted (Batting)All-Rounder,lavish,Gifted (Batting),All-Rounder,31,94,78,68,,,,31,90,75,65,,,,31,86,72,62,,,,31,78,65,57,,,,31,73,60,52,,,,31,67,56,48,,,,31,62,51,44,,,,31,55,46,40,,,,31,50,41,36,,,,31,44,37,32,,,,31,39,32,28,,,,31,34,29,25,,,,31,31,26,22,,,,31,27,23,19,,,,31,23,19,17,,,,27,19,16,14,,,
lavishGifted (Batting)Keeper-Batsman,lavish,Gifted (Batting),Keeper-Batsman,31,106,,81,,118,44,31,102,,78,,113,42,31,96,,75,,108,40,31,88,,68,,99,37,31,82,,63,,92,34,31,76,,58,,84,31,31,70,,53,,78,29,31,63,,48,,70,26,31,57,,43,,63,23,31,50,,38,,56,21,31,44,,34,,49,18,31,40,,30,,44,16,31,35,,27,,39,14,31,31,,23,,34,13,31,26,,20,,29,11,27,22,,17,,24,9
lavishGifted (Bowling)Bowling,lavish,Gifted (Bowling),Bowling,31,,133,81,,,,31,,128,78,,,,31,,121,75,,,,31,,111,68,,,,31,,103,63,,,,31,,95,58,,,,31,,88,53,,,,31,,79,48,,,,31,,71,43,,,,31,,63,38,,,,31,,55,34,,,,31,,49,30,,,,31,,44,27,,,,31,,39,23,,,,31,,33,20,,,,27,,27,17,,,
lavishGifted (Bowling)Bowling-Tech,lavish,Gifted (Bowling),Bowling-Tech,31,,97,125,,,,31,,94,120,,,,31,,90,114,,,,31,,81,105,,,,31,,75,97,,,,31,,70,90,,,,31,,64,82,,,,31,,58,74,,,,31,,52,67,,,,31,,46,60,,,,31,,40,52,,,,31,,36,46,,,,31,,32,42,,,,31,,28,36,,,,31,,24,31,,,,27,,20,26,,,
lavishGifted (Bowling)All-Rounder,lavish,Gifted (Bowling),All-Rounder,31,78,94,68,,,,31,75,90,65,,,,31,72,86,62,,,,31,65,78,57,,,,31,60,73,52,,,,31,56,67,48,,,,31,51,62,44,,,,31,46,55,40,,,,31,41,50,36,,,,31,37,44,32,,,,31,32,39,28,,,,31,29,34,25,,,,31,26,31,22,,,,31,23,27,19,,,,31,19,23,17,,,,27,16,19,14,,,
